precision,recall,f1-score,support
0.9453568229322186,0.9507507507507508,0.9480461146878275,3330.0
0.7364532019704434,0.8768328445747801,0.8005354752342704,341.0
0.8369098712446352,0.6587837837837838,0.7372400756143668,296.0
0.7732696897374701,0.8828337874659401,0.8244274809160306,367.0
0.8802083333333334,0.7423133235724744,0.8054011119936457,683.0
0.9337474120082816,0.9376299376299376,0.9356846473029046,481.0
0.775,0.9893617021276596,0.8691588785046729,94.0
0.3114754098360656,0.4523809523809524,0.36893203883495146,42.0
0.5457875457875457,0.5209790209790209,0.5330948121645797,286.0
0.8788851351351351,0.8788851351351351,0.8788851351351351,0.8788851351351351
0.7486898096499993,0.7790962336961443,0.7580578483614722,5920.0
0.8822679159475127,0.8788851351351351,0.8784761111786017,5920.0
